8.17838,7.97327,8.19137,8.01695,SLC34A3
4.32795,3.92257,4.82133,3.69881,CPA6
3.40605,3.25255,3.30574,3.67353,WBP2NL
4.21361,3.90195,4.35952,3.9953,HIPK1
4.31638,4.58835,4.47767,4.42253,HIPK1
3.63295,3.74145,3.60274,3.98594,MTBP
7.49088,6.92599,6.15299,6.46517,ACVR1C
3.88985,3.66289,3.8099,3.80724,TMEM74
3.15573,3.117,3.3138,3.19751,TMEM74
3.33096,3.41293,3.1296,3.29858,TIGD4
4.12435,4.20555,4.09038,3.99768,TIGD4
6.62534,6.71967,6.17539,6.37712,ART5
4.37492,4.2536,4.30107,4.63098,FAM71C
6.75738,6.67087,6.61,6.57416,LINC01547
3.5741,4.02191,3.88183,3.61244,NLRP11
3.93953,4.38326,3.95473,6.42043,ATP6V1C2
5.53723,5.37129,5.29378,5.18704,CLDN19
5.96859,5.7495,5.45624,6.73569,VTI1A
4.00064,3.92009,3.67108,3.47316,KIF6
5.12703,4.75047,4.9787,4.65472,IQCD
6.52795,6.24494,6.36871,6.42543,TAGAP
4.15494,3.99886,3.92021,4.11095,TAGAP
4.402,4.09995,4.12298,4.2073,STON2
4.21106,4.21625,3.98902,4.00939,SERPINA12
4.02166,3.94038,3.88596,3.93165,LETM2
4.16726,4.22966,4.12497,4.1165,BSND
5.68499,5.66278,5.47599,5.51982,BSND
3.68657,3.60088,3.53149,3.61695,CLEC4C
4.30084,4.35238,5.03533,4.37181,NLRC4
3.43535,3.46592,3.91484,3.77962,NLRC4
6.39168,6.56438,6.54406,6.47523,PRSS36
3.34349,3.31589,3.78838,3.31818,ZDHHC15
6.44987,6.47165,6.13216,6.213,RAI1
4.62892,4.69611,4.78663,5.03718,CDK15
4.26709,4.85792,4.92425,4.7244,ZNF570
4.21977,4.02526,3.62229,3.89989,
3.93146,3.9983,3.94582,3.81887,NUDT9P1
3.91519,3.76361,3.75993,3.86943,BTBD16
4.47555,4.55128,4.26122,4.10873,RTP3
4.58668,4.66871,4.35338,4.22824,RTP3
3.6252,3.7343,3.44331,4.00166,TSPEAR
3.14019,3.06043,3.29413,2.9996,MIPOL1
3.46626,3.38619,3.6131,3.36861,MIPOL1
6.70295,6.58726,6.45543,5.25985,C6orf141
4.64609,4.69137,4.60591,4.71518,ALMS1P1
3.37056,3.46477,3.39636,3.70139,MYO3B
3.9581,3.62911,4.12164,4.13049,ADAM21
4.96161,4.74693,4.87458,4.07086,TRIML2
4.46705,4.20987,4.9916,4.5793,ABCC13
4.40906,4.34347,4.29185,4.29686,ABCC13
3.99768,4.59911,5.06214,4.40299,IL12RB1
3.64898,3.67973,3.7098,3.70139,GTF2A1L
5.75925,5.61392,5.40065,5.54932,TRPV3
3.85339,3.64386,3.60089,3.96325,CNBD1
3.56643,3.40286,3.44268,3.54964,CNBD1
3.84324,3.76996,3.82572,3.86525,ABCC12
3.37495,3.22301,3.0931,3.29835,MMP21
6.20636,6.11546,5.88024,6.30706,TMEM190
6.19703,6.51758,6.05502,6.03195,GAS2L2
4.83543,4.71257,4.94259,4.7646,KCNG4
3.78606,3.77921,3.664,3.8274,PXT1
5.18448,5.09254,4.62932,4.76783,CACNG5
5.19793,5.38006,4.82995,4.89269,LINC00308
